S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
5223," BAKERY, CAKES & DAIRY "," COOKIES, RUSK & KHARI ", PREMIUM COOKIES , MCRENNETT Ajwan Cookies,Mcrennett,40163568,https://www.bigbasket.com/pd/40163568/mcrennett-ajwan-cookies-200-g/,"Mcrennett Ajwan Cookies, 200 g",50,,,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40163568_1-mcrennett-ajwan-cookies.jpg,Ajwan cookies are made from traditional Mcrennet Recipe which is baked to perfection to give a wonderful taste on a bite. Mcrennett is one of the oldest bakeries in India which is more than a century-old brand.  Relish this delicious biscuit along with a hot coffee or tea and enjoy your happy time.,8.90602E+12,https://www.bigbasket.com/media/uploads/p/l/40163568_1-mcrennett-ajwan-cookies.jpg
5224," BAKERY, CAKES & DAIRY "," COOKIES, RUSK & KHARI ", PREMIUM COOKIES , MCRENNETT Choco Shell Cookies,Mcrennett,40163570,https://www.bigbasket.com/pd/40163570/mcrennett-choco-shell-cookies-200-g/,"Mcrennett Choco Shell Cookies, 200 g",52,Rs 46.80,10%,200 g,contains egg,https://www.bigbasket.com/media/uploads/p/mm/40163570_1-mcrennett-choco-shell-cookies.jpg,Choco Shell cookies are made from traditional Mcrennet Recipe which is baked to perfection to give a wonderful taste on a bite. Mcrennett is one of the oldest bakeries in India which is more than a century-old brand. Relish this delicious biscuit along with a hot coffee or tea and enjoy your happy time.,40163570,https://www.bigbasket.com/media/uploads/p/l/40163570_1-mcrennett-choco-shell-cookies.jpg
5225," BAKERY, CAKES & DAIRY ", ICE CREAMS & DESSERTS , ICE CREAMS , KWALITY WALLS Frozen Dessert - Creme Delights Mango,kwality walls,40163751,https://www.bigbasket.com/pd/40163751/kwality-walls-frozen-dessert-creme-delights-mango-700-ml/,"kwality walls Frozen Dessert - Creme Delights Mango, 700 ml",159,Rs 135.15,15%,700 ml,veg,https://www.bigbasket.com/media/uploads/p/mm/40163751_2-kwality-walls-frozen-dessert-creme-delights-mango.jpg,"Enjoy the goodness of real fruit in a delicious creamy dessert. With creamy delights, every scoop is a celebration. Real fruit pulp, fruit pieces and fruit sauces. All sourced with care. Dig into a creamy delight and let the range of lively flavours satisfy your creamy fruit craving. The magic you taste in every scoop comes from many years of experience in the Fine Art of Frozen Desserts. Kwality Walls passion for premium desserts combined with the finest ingredients brings you the richest and most exotic flavours from across the world. All so that you can indulge in a gratifying dessert experience, every time.",40163751,https://www.bigbasket.com/media/uploads/p/l/40163751_2-kwality-walls-frozen-dessert-creme-delights-mango.jpg
5226," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK ", RAW PRESSERY Protein Milkshake - Banana + Honey,Raw Pressery,1209218,https://www.bigbasket.com/pd/1209218/raw-pressery-protein-milkshake-banana-honey-4x200-ml/,"Raw Pressery Protein Milkshake - Banana + Honey, 4x200 ml Multipack",360,Rs 324,36,4x200 ml,,https://www.bigbasket.com/media/uploads/p/mm/1209218_2-raw-pressery-protein-milkshake-banana-honey.jpg,"Everyday protein fix for everyone. Packed with the goodness of 18g of protein & delicious Banana & Honey, your daily dose of milk just got 3 times better & tastier. Oh and we also made it lactose-free!",1209218,https://www.bigbasket.com/media/uploads/p/l/1209218_2-raw-pressery-protein-milkshake-banana-honey.jpg
5227," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK ", RAW PRESSERY Protein Milkshake - Banana + Honey,Raw Pressery,40184799,https://www.bigbasket.com/pd/40184799/raw-pressery-protein-milkshake-banana-honey-200-ml/,"Raw Pressery Protein Milkshake - Banana + Honey, 200 ml",90,,,200 ml,veg,https://www.bigbasket.com/media/uploads/p/mm/40184799_4-raw-pressery-protein-milkshake-banana-honey.jpg,"Everyday protein fix for everyone. Packed with the goodness of 18g of protein & delicious Banana & Honey, your daily dose of milk just got 3 times better & tastier. Oh and we also made it lactose-free!",8.90426E+12,https://www.bigbasket.com/media/uploads/p/l/40184799_4-raw-pressery-protein-milkshake-banana-honey.jpg
5228," BAKERY, CAKES & DAIRY ", ICE CREAMS & DESSERTS , ICE CREAMS ," KWALITY WALLS Frozen Dessert - Kesar Pista, Party Pack",kwality walls,40124635,https://www.bigbasket.com/pd/40124635/kwality-walls-frozen-dessert-kesar-pista-party-pack-700-ml/,"kwality walls Frozen Dessert - Kesar Pista, Party Pack, 700 ml",165,Rs 140.25,15%,700 ml,veg,https://www.bigbasket.com/media/uploads/p/mm/40124635_4-kwality-walls-frozen-dessert-kesar-pista-party-pack.jpg,"The beautiful aroma of Kesar and the richness of Pistachios, comes in this very pack of Majestic Kesar Pista by Kwality Walls. Let the rich texture engulf you and your senses while you treat yourself to this authentic combination of pure royal extravaganza.",8.90103E+12,https://www.bigbasket.com/media/uploads/p/l/40124635_4-kwality-walls-frozen-dessert-kesar-pista-party-pack.jpg
5229," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK "," SO GOOD Drink - Almond Fresh, Chocolate",So Good,40066209,https://www.bigbasket.com/pd/40066209/so-good-drink-almond-fresh-chocolate-1-l/,"So Good Drink - Almond Fresh, Chocolate, 1 L",275,,,1 L,veg,https://www.bigbasket.com/media/uploads/p/mm/40066209_4-so-good-drink-almond-fresh-chocolate.jpg,"Life Health Foods India brings Almond Fresh a beverages which is traditionally known for its benefits. From ages soaked almonds have been part of grand mothers recipe for health and beauty. Every glass of Almond gives that reason to feel healthy, happy & beautiful.",8.41541E+11,https://www.bigbasket.com/media/uploads/p/l/40066209_4-so-good-drink-almond-fresh-chocolate.jpg
5230," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK "," SO GOOD Drink - Almond Fresh, Chocolate",So Good,1205116,https://www.bigbasket.com/pd/1205116/so-good-drink-almond-fresh-chocolate-3x200-ml/,"So Good Drink - Almond Fresh, Chocolate, 3x200 ml Multipack",210,,,3x200 ml,,https://www.bigbasket.com/media/uploads/p/mm/1205116_1-so-good-drink-almond-fresh-chocolate.jpg,"Life Health Foods India brings Almond Fresh a beverages which is traditionally known for its benefits. From ages soaked almonds have been part of grand mothers recipe for health and beauty. Every glass of Almond gives that reason to feel healthy, happy & beautiful.",1205116,https://www.bigbasket.com/media/uploads/p/l/1205116_1-so-good-drink-almond-fresh-chocolate.jpg
5231," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK "," SO GOOD Drink - Almond Fresh, Chocolate",So Good,40066206,https://www.bigbasket.com/pd/40066206/so-good-drink-almond-fresh-chocolate-200-ml/,"So Good Drink - Almond Fresh, Chocolate, 200 ml",70,,,200 ml,veg,https://www.bigbasket.com/media/uploads/p/mm/40066206_3-so-good-drink-almond-fresh-chocolate.jpg,"Life Health Foods India brings Almond Fresh a beverages which is traditionally known for its benefits. From ages soaked almonds have been part of grand mothers recipe for health and beauty. Every glass of Almond gives that reason to feel healthy, happy & beautiful.",8.41541E+11,https://www.bigbasket.com/media/uploads/p/l/40066206_3-so-good-drink-almond-fresh-chocolate.jpg
5232," BAKERY, CAKES & DAIRY ", DAIRY ," FLAVOURED, SOYA MILK "," SO GOOD Drink - Almond Fresh, Chocolate",So Good,1209230,https://www.bigbasket.com/pd/1209230/so-good-drink-almond-fresh-chocolate-4x200-ml/,"So Good Drink - Almond Fresh, Chocolate, 4x200 ml Multipack",280,Rs 252,28,4x200 ml,,https://www.bigbasket.com/media/uploads/p/mm/1209230_2-so-good-drink-almond-fresh-chocolate.jpg,"Life Health Foods India brings Almond Fresh a beverages which is traditionally known for its benefits. From ages soaked almonds have been part of grandmothers recipe for health and beauty. Every glass of Almond gives that reason to feel healthy, happy & beautiful.",1209230,https://www.bigbasket.com/media/uploads/p/l/1209230_2-so-good-drink-almond-fresh-chocolate.jpg
