S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
," EGGS, MEAT & FISH ", FISH & SEAFOOD , DRY FISH , H.S. DRY FISH Prawns(Big),H.S. Dry Fish,40036189,https://www.bigbasket.com/pd/40036189/hs-dry-fish-prawnsbig-80-g/,"H.S. Dry Fish Prawns(Big), 80 g",75,,,80 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40036189_2-hs-dry-fish-prawnsbig.jpg,"The oldest traditional way of preserving fish is drying, and is still considered one of the most effective preservation methods.",8.90911E+12,"https://www.bigbasket.com/media/uploads/p/l/40036189_2-hs-dry-fish-prawnsbig.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , CANNED SEAFOOD , GOLDEN PRIZE Canned Sardine - in Brine,Golden Prize,40119298,https://www.bigbasket.com/pd/40119298/golden-prize-canned-sardine-in-brine-125-g/,"Golden Prize Canned Sardine - in Brine, 125 g",79,Rs 75.05,5%,125 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40119298_6-golden-prize-canned-sardine-in-brine.jpg,"Golden Prize Canned Sardine in Brine is rich in Omega 3 and can be used to prepare a variety of delicious dishes, or can be eaten straight from the can. Brine dipped sardines contain twice the calcium content than milk. These sardines are a product of Thailand and come in an easy to open lid can. They are dolphin safe and HACCP compliant.",8.85211E+12,"https://www.bigbasket.com/media/uploads/p/l/40119298_6-golden-prize-canned-sardine-in-brine.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , IFB Fresh Catch Breaded Fish Fillets,Ifb,40003219,https://www.bigbasket.com/pd/40003219/ifb-fresh-catch-breaded-fish-fillets-200-g-carton/,"Ifb Fresh Catch Breaded Fish Fillets, 200 g 4 pcs",220,,,200 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40003219_7-ifb-fresh-catch-breaded-fish-fillets.jpg,"100% real fish, 1000% delicious! Our Breaded Fish Fillets have golden-crisped, crunchy flavour. It’s no wonder that these flaky fillets are a classic family favourite.",8.1321E+12,"https://www.bigbasket.com/media/uploads/p/l/40003219_7-ifb-fresh-catch-breaded-fish-fillets.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , DRY FISH , H.S. DRY FISH Prawns(Small),H.S. Dry Fish,40036199,https://www.bigbasket.com/pd/40036199/hs-dry-fish-prawnssmall-80-g/,"H.S. Dry Fish Prawns(Small), 80 g",60,,,80 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40036199_2-hs-dry-fish-prawnssmall.jpg,"The oldest traditional way of preserving fish is drying, and is still considered one of the most effective preservation methods.",8.90911E+12,"https://www.bigbasket.com/media/uploads/p/l/40036199_2-hs-dry-fish-prawnssmall.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , CANNED SEAFOOD , GOLDEN PRIZE Canned Sardine - in Natural Oil with Chili,Golden Prize,40119300,https://www.bigbasket.com/pd/40119300/golden-prize-canned-sardine-in-natural-oil-with-chili-125-g/,"Golden Prize Canned Sardine - in Natural Oil with Chili, 125 g",79,Rs 75.05,5%,125 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40119300_4-golden-prize-canned-sardine-in-natural-oil-with-chili.jpg,"Golden Prize Canned Sardine in Natural Oil with Chili is rich in Omega 3 and can be used to prepare a variety of delicious dishes, or can be eaten straight from the can. These sardines are a product of Thailand and come in an easy to open lid can. They are dolphin safe and HACCP compliant.",8.85211E+12,"https://www.bigbasket.com/media/uploads/p/l/40119300_4-golden-prize-canned-sardine-in-natural-oil-with-chili.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , IFB Fresh Catch Fish Fingers,Ifb,40003220,https://www.bigbasket.com/pd/40003220/ifb-fresh-catch-fish-fingers-200-g-carton/,"Ifb Fresh Catch Fish Fingers, 200 g 10 pcs",240,,,200 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40003220_4-ifb-fresh-catch-fish-fingers.jpg,"You can’t beat the classics. Perfectly crispy and exceptionally dippable, our Crunchy Fish Fingers are always delicious, making them the perfect intro for any get-together of family and friends.",40003220,"https://www.bigbasket.com/media/uploads/p/l/40003220_4-ifb-fresh-catch-fish-fingers.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , BIG SAMS Atlantic Salmon - Fillet,Big Sams,40021108,https://www.bigbasket.com/pd/40021108/big-sams-atlantic-salmon-fillet-300-g-pouch/,"Big Sams Atlantic Salmon - Fillet, 300 g Pouch",1190,,,300 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40021108_9-big-sams-atlantic-salmon-fillet.jpg,"Big Sams is a well-known international brand which offers a range of quality frozen seafood. The raw salmon fillets provided by Big Sams is trimmed and cut into a fillet portion so that it is easy to cook. The skin is kept as intact as some people like the skin of the salmon on their fillet. They are hygienically processed under strict conditions, so that the fish reaches your home in its fresh best.",8.90417E+12,"https://www.bigbasket.com/media/uploads/p/l/40021108_9-big-sams-atlantic-salmon-fillet.jpg"""
," EGGS, MEAT & FISH ", POULTRY , FROZEN CHICKEN , VENKYS Chicken - Sheek Kabab,Venkys,40059879,https://www.bigbasket.com/pd/40059879/venkys-chicken-sheek-kabab-500-g/,"Venkys Chicken - Sheek Kabab, 500 g",310,,,500 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40059879_2-venkys-chicken-sheek-kabab.jpg,Venkys Chicken - Sheek Kabab 500 g,8.90404E+12,"https://www.bigbasket.com/media/uploads/p/l/40059879_2-venkys-chicken-sheek-kabab.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , DRY FISH , H.S. DRY FISH Korai Fish,H.S. Dry Fish,40036197,https://www.bigbasket.com/pd/40036197/hs-dry-fish-korai-fish-100-g/,"H.S. Dry Fish Korai Fish, 100 g",50,Rs 45,10%,100 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40036197_2-hs-dry-fish-korai-fish.jpg,"The oldest traditional way of preserving fish is drying, and is still considered one of the most effective preservation methods.",8.90911E+12,"https://www.bigbasket.com/media/uploads/p/l/40036197_2-hs-dry-fish-korai-fish.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , DRY FISH , H.S. DRY FISH Ferra Fish,H.S. Dry Fish,40036193,https://www.bigbasket.com/pd/40036193/hs-dry-fish-ferra-fish-80-g/,"H.S. Dry Fish Ferra Fish, 80 g",70,,,80 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40036193_2-hs-dry-fish-ferra-fish.jpg,"The oldest traditional way of preserving fish is drying, and is still considered one of the most effective preservation methods.",8.90911E+12,"https://www.bigbasket.com/media/uploads/p/l/40036193_2-hs-dry-fish-ferra-fish.jpg"""
," EGGS, MEAT & FISH ", FISH & SEAFOOD , FROZEN FISH & SEAFOOD , IFB Fresh Catch Prawn Pops,Ifb,40003221,https://www.bigbasket.com/pd/40003221/ifb-fresh-catch-prawn-pops-200-g-carton/,"Ifb Fresh Catch Prawn Pops, 200 g Approx 18 - 20 pcs",230,,,200 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40003221_4-ifb-fresh-catch-prawn-pops.jpg,"Make best buds with your tastebuds! Expertly seasoned, golden crispy and oh-so-tender — our Prawn Pops add a delicious pop of crunch to any meal or party. Sharing is always an option (but not required).",8.1321E+12,"https://www.bigbasket.com/media/uploads/p/l/40003221_4-ifb-fresh-catch-prawn-pops.jpg"""
," EGGS, MEAT & FISH ", POULTRY , FROZEN CHICKEN , VENKYS Chicken - Pops,Venkys,40059872,https://www.bigbasket.com/pd/40059872/venkys-chicken-pops-500-g/,"Venkys Chicken - Pops, 500 g",280,,,500 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40059872_3-venkys-chicken-pops.jpg,"Venkys Chicken Pops home which has got the ingredients of Chicken Meat, Water, Breadcrumbs, Onion, Edible Vegetable Oil, Green Chilly etc. Get set to enjoy the hot and spicy, ready to fill your tummy, the very zesty tasty Venkys Chicken pops. Its a non veg frozen food that requires a little heat to offer you the sizzling taste.",40059872,"https://www.bigbasket.com/media/uploads/p/l/40059872_3-venkys-chicken-pops.jpg"""
," EGGS, MEAT & FISH ", EGGS , OTHER EGGS , SKM BEST Egg White - Cube,SKM BEST,40122449,https://www.bigbasket.com/pd/40122449/skm-best-egg-white-cube-200-g/,"SKM BEST Egg White - Cube, 200 g",100,,,200 g,contains egg,https://www.bigbasket.com/media/uploads/p/mm/40122449_4-skm-best-egg-white-cube.jpg,"Best Egg White cubes are ideal for cooking and are easier to store than regular whole eggs as they are packaged and do not need to be handled with as much care. These egg cubes taste delicious and are high in protein with no fat or cholesterol, making it ideal to have as breakfast or as part of a post workout meal.",8.90196E+12,"https://www.bigbasket.com/media/uploads/p/l/40122449_4-skm-best-egg-white-cube.jpg"""
," EGGS, MEAT & FISH "," SAUSAGES, BACON & SALAMI ", PORK & HAM , SUMERU Pork - Back Bacon,sumeru,40055137,https://www.bigbasket.com/pd/40055137/sumeru-pork-back-bacon-150-g/,"sumeru Pork - Back Bacon, 150 g",245,,,150 g,non-veg,https://www.bigbasket.com/media/uploads/p/mm/40055137_4-sumeru-pork-back-bacon.jpg,"Its fine cold cuts mostly eaten in the breakfast. Mixture of freshly minced poultry, spices and flavouring agents. The Finished result is delicious and soft in texture. Its properly packed and frozen to ensure that it retains its taste and aroma. Should be Kept Frozen at or below -18 C",40055137,"https://www.bigbasket.com/media/uploads/p/l/40055137_4-sumeru-pork-back-bacon.jpg"""
