S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
, SNACKS & BRANDED FOODS , BISCUITS & COOKIES , GLUCOSE & MILK BISCUITS , PATANJALI Doodh Biscuit,Patanjali,401806,https://www.bigbasket.com/pd/401806/patanjali-doodh-biscuit-90-g/,"Patanjali Doodh Biscuit, 90 g",10,,,90 g,,https://www.bigbasket.com/media/uploads/p/mm/401806_2-patanjali-doodh-biscuit.jpg,,401806,"https://www.bigbasket.com/media/uploads/p/l/401806_2-patanjali-doodh-biscuit.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , CHIPS & CORN SNACKS , ACT II Nachoz - Tomato,ACT II,1202952,https://www.bigbasket.com/pd/1202952/act-ii-nachoz-tomato-3x150-g/,"ACT II Nachoz - Tomato, 3x150 g Multipack",210,,,3x150 g,,https://www.bigbasket.com/media/uploads/p/mm/1202952_1-act-ii-nachoz-tomato.jpg,,1202952,https://www.bigbasket.com/media/uploads/p/l/1202952_1-act-ii-nachoz-tomato.jpg
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , CHIPS & CORN SNACKS , ACT II Nachoz - Tomato,ACT II,40083890,https://www.bigbasket.com/pd/40083890/act-ii-nachoz-tomato-150-g/,"ACT II Nachoz - Tomato, 150 g",70,,,150 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40083890_2-act-ii-nachoz-tomato.jpg,"Savour every mouthful with ACT II's Tomato-Flavored Nachoz. It is a corn-based snack that is enriched with dietary fibres and healthy proteins. And guess what? It also has 40% less fat than your regular potato chips. It has assorted spices, condiments, natural and nature-identical flavouring substances added to it that further enhance its taste. The sodium content is nearly 1 gm and the transfats are an absolute 0, while the Whey Powder lowers your total cholesterol and has amazing effects on your fullness levels. So, don’t think twice and have it as an evening snack with favourite dips and enjoy!",8.90151E+12,"https://www.bigbasket.com/media/uploads/p/l/40083890_2-act-ii-nachoz-tomato.jpg"""
, SNACKS & BRANDED FOODS , INDIAN MITHAI , FRESH SWEETS , CHARLIE Namkeen - Manchurian Sticks,Charlie,40064950,https://www.bigbasket.com/pd/40064950/charlie-namkeen-manchurian-sticks-180-g/,"Charlie Namkeen - Manchurian Sticks, 180 g",65,,,180 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40064950_3-charlie-namkeen-manchurian-sticks.jpg,"Crispy namkeen sticks with real taste of Chinese Manchurian made with Tapioca Flavour, Black Matpe Flour, Rice Flour, Jaljira, Refined Palmolein Oil, Red Chilli Powder, Dry Mango Powder, Black Salt, Iodised Salt.",8.90601E+12,"https://www.bigbasket.com/media/uploads/p/l/40064950_3-charlie-namkeen-manchurian-sticks.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , PARLE Namkeen - Hot N Spicy,Parle,40101051,https://www.bigbasket.com/pd/40101051/parle-namkeen-hot-n-spicy-180-g/,"Parle Namkeen - Hot N Spicy, 180 g",41,Rs 34.85,15%,180 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40101051_5-parle-namkeen-hot-n-spicy.jpg,Mixture of spicy traditional namkeen with indian spiced flavoured best to munch for all the time,8.90172E+12,"https://www.bigbasket.com/media/uploads/p/l/40101051_5-parle-namkeen-hot-n-spicy.jpg"""
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , PARLE Namkeen - Hot N Spicy,Parle,1203111,https://www.bigbasket.com/pd/1203111/parle-namkeen-hot-n-spicy-4x180-g/,"Parle Namkeen - Hot N Spicy, 4x180 g Multipack",164,Rs 139.40,15%,4x180 g,,https://www.bigbasket.com/media/uploads/p/mm/1203111_2-parle-namkeen-hot-n-spicy.jpg,"A mixture of spicy traditional namkeen with Indian spiced flavoured best to munch for all the time. A lip-smacking delicious snack, Parle’s Namkeen is created to add excitement in your life. Quite irresistible!",1203111,https://www.bigbasket.com/media/uploads/p/l/1203111_2-parle-namkeen-hot-n-spicy.jpg
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , PARLE Namkeen - Aloo Bujia,Parle,1203113,https://www.bigbasket.com/pd/1203113/parle-namkeen-aloo-bujia-4x180-g/,"Parle Namkeen - Aloo Bujia, 4x180 g Multipack",172,Rs 146.20,15%,4x180 g,,https://www.bigbasket.com/media/uploads/p/mm/1203113_2-parle-namkeen-aloo-bujia.jpg,"Parle aloo bujia namkeen best to munch for all the time. A lip-smacking delicious snack, Parle’s Namkeen is created to add excitement in your life. Quite irresistible!",1203113,https://www.bigbasket.com/media/uploads/p/l/1203113_2-parle-namkeen-aloo-bujia.jpg
, SNACKS & BRANDED FOODS , SNACKS & NAMKEEN , NAMKEEN & SAVOURY SNACKS , PARLE Namkeen - Aloo Bujia,Parle,40101053,https://www.bigbasket.com/pd/40101053/parle-namkeen-aloo-bujia-180-g/,"Parle Namkeen - Aloo Bujia, 180 g",43,Rs 36.55,15%,180 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40101053_6-parle-namkeen-aloo-bujia.jpg,"Parle aloo bujia namkeen best to munch for all the time. A lip-smacking delicious snack, Parle’s Namkeen is created to add excitement in your life. Quite irresistible!",8.90172E+12,"https://www.bigbasket.com/media/uploads/p/l/40101053_6-parle-namkeen-aloo-bujia.jpg"""
, SNACKS & BRANDED FOODS , FROZEN VEGGIES & SNACKS , FROZEN VEG SNACKS , AMUL HAPPY TREATS Ready to Cook & Serve - Cheese Onion Pockets,Amul Happy Treats,40110648,https://www.bigbasket.com/pd/40110648/amul-happy-treats-ready-to-cook-serve-cheese-onion-pockets-320-g-40-g/,"Amul Happy Treats Ready to Cook & Serve - Cheese Onion Pockets, 320 g + 40 g",135,,,320 g + 40 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40110648_2-amul-happy-treats-ready-to-cook-serve-cheese-onion-pockets.jpg,"Amul Happy treat frozen snacks made from delicious , tasty and more importantly Ãƒ€šÃ‚ healthy Amul dairy products . Amul frozen snacks has much higher nutrition value compare to other frozen snacks available in the market which are mainly made from Maida and potatos. Amul Happy treats contains the goodness of Amul Cheese , AmulÃƒ€šÃ‚  Paneer , Amul Masti dahi etc. in his product portfolio. Amul happy treats is ready to cook and fast to serve ( within 3 Minutes).Amul Frozen snacks are made in extreme hygiene environment under the FSSAI , BRC and USFDA certified and approved manufacturing plant.",8.90126E+12,"https://www.bigbasket.com/media/uploads/p/l/40110648_2-amul-happy-treats-ready-to-cook-serve-cheese-onion-pockets.jpg"""
, SNACKS & BRANDED FOODS , CHOCOLATES & CANDIES , MINTS & CHEWING GUM ," WRIGLEYS Orbit Chewing Gum - Mixed Fruit , Sugarfree",Wrigleys,40123376,https://www.bigbasket.com/pd/40123376/wrigleys-orbit-chewing-gum-mixed-fruit-sugarfree-32-pcs/,"Wrigleys Orbit Chewing Gum - Mixed Fruit , Sugarfree, 32 pcs 4.4 gm each",160,,,32 pcs,veg,https://www.bigbasket.com/media/uploads/p/mm/40123376_2-wrigleys-orbit-chewing-gum-mixed-fruit-sugarfree.jpg,Orbit chewing gum is sugarfree and ideal to chew after meals for clean and healthy teeth. It is available in delicious fruit and mint flavours and it also helps eliminate bad breath.,4.0099E+12,"https://www.bigbasket.com/media/uploads/p/l/40123376_2-wrigleys-orbit-chewing-gum-mixed-fruit-sugarfree.jpg"""
