S.No,CATEGORY,SUB_CATEGORY,ITEM_GROUP,BRAND_NAME,ITEM_NAME,SKU,ITEM_URL,ITEM_NAME1,MRP,DISCOUNTED_PRICE,SAVE %,QTY,TYPE,IMAGE_MAIN,ABOUT,EAN,IMAGE URL 1
218," FOODGRAINS, OIL & MASALA ", DRY FRUITS , ALMONDS , BB ROYAL Almond/Badam Californian (Extra Bold)/Badam,bb Royal,10000493,https://www.bigbasket.com/pd/10000493/bb-royal-almondbadam-californian-giri-100-g-pouch/,"bb Royal Almond/Badam Californian (Extra Bold)/Badam, 100 g Pouch",150,Rs 100,33%,100 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000493_13-bb-royal-almondbadam-californian-giri.jpg,"Unlike what most people think, almonds are seeds of a fruit that grows on the almond tree. Preferred the world over for their extremely high nutritional value, California Almonds bring you the right dose of good cholesterol and vitamins that fortify your immune system. BB Royal California ensures that you get your almonds in the best shape and their nutrients are preserved. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",1000000,https://www.bigbasket.com/media/uploads/p/l/10000493_13-bb-royal-almondbadam-californian-giri.jpg
219," FOODGRAINS, OIL & MASALA ", DRY FRUITS , ALMONDS , BB ROYAL Almond/Badam Californian (Extra Bold)/Badam,bb Royal,10000550,https://www.bigbasket.com/pd/10000550/bb-royal-almondbadam-californian-giri-500-g-pouch/,"bb Royal Almond/Badam Californian (Extra Bold)/Badam, 500 g Pouch",750,Rs 499,33%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000550_13-bb-royal-almondbadam-californian-giri.jpg,"American Almonds are delicious alone as a nutritious snack, and they are a prime ingredient in home kitchens and in food manufacturing. It enhances virtually every food they grace with their distinctive taste and satisfying crunch. It is one of the most versatile nuts. It is very nutrient-rich and contains flavonoid phytonutrients which along with the vitamin E present in their flesh provides excellent antioxidant power. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",100005509,https://www.bigbasket.com/media/uploads/p/l/10000550_13-bb-royal-almondbadam-californian-giri.jpg
220," FOODGRAINS, OIL & MASALA ", DRY FRUITS , ALMONDS , BB ROYAL Almond/Badam Californian (Extra Bold)/Badam,bb Royal,10000519,https://www.bigbasket.com/pd/10000519/bb-royal-almondbadam-californian-giri-200-g-pouch/,"bb Royal Almond/Badam Californian (Extra Bold)/Badam, 200 g Pouch",300,Rs 200,33%,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000519_12-bb-royal-almondbadam-californian-giri.jpg,"Almonds are light brown-skinned, firm, ripe seeds of the almond fruit. They have a wealthy yet subtle bitter-sweet flavour. These are riches of nutrients, particularly dietary fibre, mono-unsaturated fatty acids, and protein, B complex vitamins. Also, it is wealthy in vitamin E and minerals such as potassium, zinc, iron, calcium, selenium, manganese. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",10000519,https://www.bigbasket.com/media/uploads/p/l/10000519_12-bb-royal-almondbadam-californian-giri.jpg
224," FOODGRAINS, OIL & MASALA ", RICE & RICE PRODUCTS , RAW RICE , BB ROYAL Ponni Raw Rice - Super Premium,bb Royal,40075889,https://www.bigbasket.com/pd/40075889/bb-royal-ponni-raw-rice-super-premium-5-kg/,"bb Royal Ponni Raw Rice - Super Premium, 5 kg (18 + Months Old)",375,Rs 299,20%,5 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40075889_2-bb-royal-ponni-raw-rice-super-premium.jpg,,40075889,https://www.bigbasket.com/media/uploads/p/l/40075889_2-bb-royal-ponni-raw-rice-super-premium.jpg
225," FOODGRAINS, OIL & MASALA ", RICE & RICE PRODUCTS , RAW RICE , BB ROYAL Ponni Raw Rice - Super Premium,bb Royal,40075890,https://www.bigbasket.com/pd/40075890/bb-royal-ponni-raw-rice-super-premium-10-kg/,"bb Royal Ponni Raw Rice - Super Premium, 10 kg (18 + Months Old)",750,Rs 582,22%,10 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40075890_5-bb-royal-ponni-raw-rice-super-premium.jpg,,40075890,https://www.bigbasket.com/media/uploads/p/l/40075890_5-bb-royal-ponni-raw-rice-super-premium.jpg
226," FOODGRAINS, OIL & MASALA ", RICE & RICE PRODUCTS , RAW RICE , BB ROYAL Ponni Raw Rice - Super Premium,bb Royal,40075891,https://www.bigbasket.com/pd/40075891/bb-royal-ponni-raw-rice-super-premium-25-kg/,"bb Royal Ponni Raw Rice - Super Premium, 25 kg (18 + Months Old)",1875,Rs 1337.97,29%,25 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/40075891_6-bb-royal-ponni-raw-rice-super-premium.jpg,,40075891,https://www.bigbasket.com/media/uploads/p/l/40075891_6-bb-royal-ponni-raw-rice-super-premium.jpg
233," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB ROYAL Green Moong Whole/Sabut/Pachai Parupu/Payatham Paruppu/Pasipayir,bb Royal,10000443,https://www.bigbasket.com/pd/10000443/bb-royal-moong-green-wholesabut-500-g-pouch/,"bb Royal Green Moong Whole/Sabut/Pachai Parupu/Payatham Paruppu/Pasipayir, 500 g Pouch",90,Rs 71,21%,500 g,veg,https://www.bigbasket.com/media/uploads/p/mm/10000443_14-bb-royal-moong-green-wholesabut.jpg,"Moong Dal has a sugary flavor, soft feel, and is simple to digest. These beans are sprouted to make Bean Sprouts, which have vitamin C, not found in the dry bean. Moong Bean Flour is utilized to make Bean Threads. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/",10,https://www.bigbasket.com/media/uploads/p/l/10000443_14-bb-royal-moong-green-wholesabut.jpg
234," FOODGRAINS, OIL & MASALA ", DALS & PULSES ," TOOR, CHANNA & MOONG DAL ", BB ROYAL Green Moong Whole/Sabut/Pachai Parupu/Payatham Paruppu/Pasipayir,bb Royal,20000437,https://www.bigbasket.com/pd/20000437/bb-royal-green-moong-wholesabut-1-kg-pouch/,"bb Royal Green Moong Whole/Sabut/Pachai Parupu/Payatham Paruppu/Pasipayir, 1 kg Pouch",180,Rs 140,22%,1 kg,veg,https://www.bigbasket.com/media/uploads/p/mm/20000437_10-bb-royal-green-moong-wholesabut.jpg,"BB Royal whole green moong are procured from reliable and high quality sources, and are extremely beneficial for your health. The moong dal is easy to digest, has a pleasant sugary flavour and feels soft. The beans are best consumed after being sprouted, since the sprouts are rich in vitamin C. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/230/dals-pulses/",2.00004E+12,https://www.bigbasket.com/media/uploads/p/l/20000437_10-bb-royal-green-moong-wholesabut.jpg
235," FOODGRAINS, OIL & MASALA ", DRY FRUITS , OTHER DRY FRUITS , BB POPULAR Anjeer - Figs,bb Popular,40019555,https://www.bigbasket.com/pd/40019555/bb-popular-anjeer-figs-100-g/,"bb Popular Anjeer - Figs, 100 g",200,Rs 162,19%,100 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40019555_5-bb-popular-anjeer-figs.jpg,Figs are bell shaped fruits with wrinkled tough skin and has moist flesh inside. They are very sweet and come with a sugary aroma. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/,40019555,https://www.bigbasket.com/media/uploads/p/l/40019555_5-bb-popular-anjeer-figs.jpg
236," FOODGRAINS, OIL & MASALA ", DRY FRUITS , OTHER DRY FRUITS , BB POPULAR Anjeer - Figs,bb Popular,40019556,https://www.bigbasket.com/pd/40019556/bb-popular-anjeer-figs-200-g/,"bb Popular Anjeer - Figs, 200 g",400,Rs 320,20%,200 g,veg,https://www.bigbasket.com/media/uploads/p/mm/40019556_4-bb-popular-anjeer-figs.jpg,"Figs are appetisingly sugary and feature a complex feel that merges the chewiness of their flesh, the softness of their skin, and the crunchiness of their seeds. Click here for unique and delicious recipes - https://www.bigbasket.com/flavors/collections/231/dry-fruits-berries-nuts/",40019556,https://www.bigbasket.com/media/uploads/p/l/40019556_4-bb-popular-anjeer-figs.jpg
